Subset|Measure|Statistic|Highlight|Value
All CA Counties|MD GPs Per 1,000|StdDev|Smry|0.1266265709
All CA Counties|MD GPs Per 1,000|N|Smry|58
All CA Counties|MD GPs Per 1,000|P01|Ptile|0
All CA Counties|MD GPs Per 1,000|Min|Extr|0
All CA Counties|MD GPs Per 1,000|P05|Ptile|0.0353569282
All CA Counties|MD GPs Per 1,000|P10|Ptile|0.0998003992
All CA Counties|MD GPs Per 1,000|P25|IQR|0.1861071046
All CA Counties|MD GPs Per 1,000|P40|Ptile|0.2438250647
All CA Counties|MD GPs Per 1,000|Santa Barbara (P42)|SB|0.2450736899
All CA Counties|MD GPs Per 1,000|Mean|Mean|0.2709347945
All CA Counties|MD GPs Per 1,000|Median|IQR|0.2721356939
All CA Counties|MD GPs Per 1,000|P60|Ptile|0.3085022185
All CA Counties|MD GPs Per 1,000|P75|IQR|0.3369271173
All CA Counties|MD GPs Per 1,000|P90|Ptile|0.4301027219
All CA Counties|MD GPs Per 1,000|P95|Ptile|0.5334815226
All CA Counties|MD GPs Per 1,000|Max|Extr|0.5512240236
All CA Counties|MD GPs Per 1,000|P99|Ptile|0.5512240236
All CA Counties|MD Specialists Per 1,000|StdDev|Smry|0.4107182307
All CA Counties|MD Specialists Per 1,000|N|Smry|58
All CA Counties|MD Specialists Per 1,000|P01|Ptile|0
All CA Counties|MD Specialists Per 1,000|Min|Extr|0
All CA Counties|MD Specialists Per 1,000|P05|Ptile|0
All CA Counties|MD Specialists Per 1,000|P10|Ptile|0.0666311301
All CA Counties|MD Specialists Per 1,000|P25|IQR|0.2076977067
All CA Counties|MD Specialists Per 1,000|P40|Ptile|0.3492752538
All CA Counties|MD Specialists Per 1,000|Median|IQR|0.4079083308
All CA Counties|MD Specialists Per 1,000|P60|Ptile|0.4976026953
All CA Counties|MD Specialists Per 1,000|Mean|Mean|0.5115062831
All CA Counties|MD Specialists Per 1,000|P75|IQR|0.7121371555
All CA Counties|MD Specialists Per 1,000|Santa Barbara (P76)|SB|0.7509556828
All CA Counties|MD Specialists Per 1,000|P90|Ptile|1.0641734488
All CA Counties|MD Specialists Per 1,000|P95|Ptile|1.4374106564
All CA Counties|MD Specialists Per 1,000|P99|Ptile|1.9247501171
All CA Counties|MD Specialists Per 1,000|Max|Extr|1.9247501171
All CA Counties|MDs/DOs Per 1,000|StdDev|Smry|0.963493728
All CA Counties|MDs/DOs Per 1,000|N|Smry|58
All CA Counties|MDs/DOs Per 1,000|P01|Ptile|0.2121415691
All CA Counties|MDs/DOs Per 1,000|Min|Extr|0.2121415691
