exclude_reason|fips_st_cnty|st_cnty_nm|st_abbr|cbsa_ind_cd_msa|cbsa_status_central|rur_urb_cntm_cd_02|urb_infl_cd_2|mds_y20|dos_y20|mds_dos_y20|mds_dos_per_1k|mds_gp_y20|mds_gp_per_1k|mds_spec_y20|mds_spec_per_1k|popn|cvln_lbr_frc_ovr15|pct_cvln_lbr_frc_ovr15|pop_ovr64|pct_ovr64|pop_female|pct_female|pop_wht_non_hisp|pct_wht_non_hisp|prsnl_income|pop_in_pvrty|pct_in_pvrty|hsptl_beds|hsptl_beds_per_1k
County has mising attributes|02261|Valdez-Cordova (CA), AK|AK|0|0|0|0|9|0|9||8||1|||4522|||||||||||44|
County has mising attributes|51520|Bristol City, VA|VA|1|0|1|1|9|3|12|0.6924808125|6|0.3462404063|1|0.0577067344|17329|7316|0.4221824687|3845|0.2218823937|9116|0.5260545906|15185|0.8762767615||2948|0.1701194529|25|1.4426683594
County has mising attributes|51530|Buena Vista City, VA|VA|0|0|0|0|2|0|2|0.3124023743|1|0.1562011871|1|0.1562011871|6402|3114|0.4864104967|1243|0.1941580756|3407|0.5321774445|5589|0.8730084349||824|0.1287097782|0|0
County has mising attributes|51540|Charlottesville City, VA|VA|1|1|0|1|490|13|503|10.713525027|35|0.7454739084|180|3.8338658147|46950|25424|0.5415122471|6031|0.128455804|24280|0.5171458999|31165|0.6637912673||7088|0.1509691161|711|15.143769968
County has mising attributes|51570|Colonial Heights City, VA|VA|1|1|0|0|43|2|45|2.6155187446|7|0.4068584714|22|1.2786980529|17205|8480|0.4928799768|3374|0.1961057832|9262|0.5383318803|11879|0.6904388259||1483|0.0861958733|0|0
County has mising attributes|51580|Covington City, VA|VA|0|0|0|0|5|2|7|1.2413548502|0|0|1|0.1773364072|5639|2412|0.4277354141|1130|0.2003901401|2932|0.5199503458|4490|0.7962404682||817|0.1448838447|0|0
County has mising attributes|51590|Danville City, VA|VA|0|1|0|0|88|15|103|2.5834608342|21|0.5267250245|29|0.7273821766|39869|19250|0.4828312724|8493|0.2130226492|21549|0.5404951215|16148|0.4050264617||8468|0.2123955956|322|8.076450375
County has mising attributes|51600|Fairfax City, VA|VA|1|1|0|0|5|0|5|0.2134107303|2|0.0853642921|2|0.0853642921|23429|13038|0.5564898203|3583|0.1529301293|11974|0.5110760169|12683|0.5413376585||1639|0.0699560374|0|0
County has mising attributes|51610|Falls Church City, VA|VA|1|1|0|0|108|3|111|7.5866311257|16|1.0935684506|52|3.5540974643|14631|8284|0.5661950653|2138|0.1461280842|7418|0.5070056729|10420|0.7121864534||488|0.0333538377|0|0
County has mising attributes|51620|Franklin City, VA|VA|1|0|0|0|12|0|12|1.5319800843|2|0.255330014|6|0.7659900421|7833|3640|0.4647006256|1566|0.199923401|4258|0.5435975999|3007|0.3838886761||1392|0.1777096898|206|26.298991446
County has mising attributes|51630|Fredericksburg City, VA|VA|1|0|0|0|143|10|153|5.1878475519|13|0.4407975044|54|1.8310050183|29492|14020|0.4753831548|3474|0.1177946562|15716|0.5328902753|17130|0.5808354808||3279|0.1111826936|511|17.326732673
