fips_st_cnty|st_cnty_nm|st_abbr|cbsa_ind_cd_msa|cbsa_status_central|rur_urb_cntm_cd_02|urb_infl_cd_2|mds_y20|dos_y20|mds_dos_y20|mds_dos_per_1k|mds_gp_y20|mds_gp_per_1k|mds_spec_y20|mds_spec_per_1k|popn|cvln_lbr_frc_ovr15|pct_cvln_lbr_frc_ovr15|pop_ovr64|pct_ovr64|pop_female|pct_female|pop_wht_non_hisp|pct_wht_non_hisp|prsnl_income|pop_in_pvrty|pct_in_pvrty|hsptl_beds|hsptl_beds_per_1k
01001|Autauga, AL|AL|1|1|1|1|35|2|37|0.6590079259|13|0.2315433253|15|0.2671653754|56145|25838|0.4602012646|9082|0.1617597293|28919|0.5150770327|41079|0.731659097|46814|6242|0.1111764182|55|0.9796063763
01003|Baldwin, AL|AL|1|1|0|1|355|29|384|1.674756964|69|0.300932892|114|0.4971934737|229287|96763|0.4220169482|49485|0.2158212197|118287|0.5158905651|191015|0.8330825559|50953|20189|0.0880512197|364|1.5875300388
01005|Barbour, AL|AL|0|1|0|0|7|3|10|0.4066859165|4|0.1626743666|1|0.0406685916|24589|8587|0.3492211965|4982|0.2026109236|11602|0.4718370003|11130|0.452641425|37850|5548|0.2256293465|47|1.9114238074
01007|Bibb, AL|AL|1|0|0|0|12|2|14|0.6324539212|12|0.542103361|0|0|22136|8640|0.3903144199|3780|0.1707625587|10363|0.4681514275|16420|0.741778099|34300|3549|0.160327069|166|7.4990964944
01009|Blount, AL|AL|1|0|0|0|16|0|16|0.2764387774|9|0.1554968123|3|0.0518322708|57879|24661|0.4260785432|10999|0.1900343821|29262|0.5055719691|50238|0.8679832063|38808|7525|0.1300126125|25|0.4319355898
01011|Bullock, AL|AL|0|0|0|0|3|0|3|0.3007217322|0|0|2|0.2004811548|9976|4818|0.4829591018|1763|0.1767241379|4515|0.4525862069|2104|0.2109061748|31944|2552|0.2558139535|54|5.4129911788
01013|Butler, AL|AL|0|0|0|0|6|0|6|0.3076292043|1|0.051271534|3|0.1538146021|19504|9056|0.4643150123|4171|0.2138535685|10420|0.5342493847|9943|0.509792863|39988|3954|0.2027276456|61|3.1275635767
01015|Calhoun, AL|AL|1|1|0|1|159|11|170|1.4982065586|25|0.2203244939|62|0.5464047449|113469|46240|0.4075121839|21030|0.1853369643|58902|0.5191021336|81012|0.713957116|40195|15915|0.1402585728|254|2.2384968582
01017|Chambers, AL|AL|0|0|0|0|22|1|23|0.6998326487|4|0.1217100259|11|0.3347025711|32865|15865|0.4827323901|6768|0.2059333638|17200|0.5233531112|18005|0.5478472539|38508|5266|0.160231249|0|0
01019|Cherokee, AL|AL|0|0|0|0|8|3|11|0.4183463908|5|0.1901574504|2|0.0760629801|26294|11513|0.4378565452|6382|0.2427169697|13262|0.5043736214|24046|0.9145052103|37869|3827|0.1455465125|45|1.7114170533
