Subset|Measure|Statistic|Highlight|Value
All CA Counties|MD GPs Per 100k|StdDev|Smry|12.662657091
All CA Counties|MD GPs Per 100k|N|Smry|58
All CA Counties|MD GPs Per 100k|P01|Ptile|0
All CA Counties|MD GPs Per 100k|Min|Extr|0
All CA Counties|MD GPs Per 100k|P05|Ptile|3.535692819
All CA Counties|MD GPs Per 100k|P10|Ptile|9.9800399202
All CA Counties|MD GPs Per 100k|P25|IQR|18.610710464
All CA Counties|MD GPs Per 100k|P40|Ptile|24.382506469
All CA Counties|MD GPs Per 100k|Santa Barbara (P42)|SB|24.507269991
All CA Counties|MD GPs Per 100k|Mean|Mean|27.09347945
All CA Counties|MD GPs Per 100k|Median|IQR|27.213569391
All CA Counties|MD GPs Per 100k|P60|Ptile|30.850221852
All CA Counties|MD GPs Per 100k|P75|IQR|33.692711733
All CA Counties|MD GPs Per 100k|P90|Ptile|43.010272194
All CA Counties|MD GPs Per 100k|P95|Ptile|53.348152265
All CA Counties|MD GPs Per 100k|P99|Ptile|55.122402357
All CA Counties|MD GPs Per 100k|Max|Extr|55.122402357
All CA Counties|MD Specialists Per 100k|StdDev|Smry|41.071823068
All CA Counties|MD Specialists Per 100k|N|Smry|58
All CA Counties|MD Specialists Per 100k|P01|Ptile|0
All CA Counties|MD Specialists Per 100k|Min|Extr|0
All CA Counties|MD Specialists Per 100k|P05|Ptile|0
All CA Counties|MD Specialists Per 100k|P10|Ptile|6.6631130064
All CA Counties|MD Specialists Per 100k|P25|IQR|20.769770673
All CA Counties|MD Specialists Per 100k|P40|Ptile|34.927525385
All CA Counties|MD Specialists Per 100k|Median|IQR|40.790833084
All CA Counties|MD Specialists Per 100k|P60|Ptile|49.760269535
All CA Counties|MD Specialists Per 100k|Mean|Mean|51.150628312
All CA Counties|MD Specialists Per 100k|P75|IQR|71.213715549
All CA Counties|MD Specialists Per 100k|Santa Barbara (P76)|SB|75.095667284
All CA Counties|MD Specialists Per 100k|P90|Ptile|106.41734488
All CA Counties|MD Specialists Per 100k|P95|Ptile|143.74106564
All CA Counties|MD Specialists Per 100k|P99|Ptile|192.47501171
All CA Counties|MD Specialists Per 100k|Max|Extr|192.47501171
All CA Counties|MDs/DOs Per 100k|N|Smry|58
All CA Counties|MDs/DOs Per 100k|StdDev|Smry|96.349372804
All CA Counties|MDs/DOs Per 100k|P01|Ptile|21.214156914
All CA Counties|MDs/DOs Per 100k|Min|Extr|21.214156914
All CA Counties|MDs/DOs Per 100k|P05|Ptile|34.246575342
All CA Counties|MDs/DOs Per 100k|P10|Ptile|45.646468105
All CA Counties|MDs/DOs Per 100k|P25|IQR|85.279250783
All CA Counties|MDs/DOs Per 100k|P40|Ptile|119.75151561
All CA Counties|MDs/DOs Per 100k|Median|IQR|141.06693533
All CA Counties|MDs/DOs Per 100k|Mean|Mean|158.53068327
All CA Counties|MDs/DOs Per 100k|P60|Ptile|168.1456423
All CA Counties|MDs/DOs Per 100k|Santa Barbara (P71)|SB|209.32355341
All CA Counties|MDs/DOs Per 100k|P75|IQR|227.1001204
All CA Counties|MDs/DOs Per 100k|P90|Ptile|270.78933955
All CA Counties|MDs/DOs Per 100k|P95|Ptile|325.46142201
All CA Counties|MDs/DOs Per 100k|P99|Ptile|465.37873036
All CA Counties|MDs/DOs Per 100k|Max|Extr|465.37873036
All US Counties|MD GPs Per 100k|StdDev|Smry|20.593180252
All US Counties|MD GPs Per 100k|N|Smry|2927
All US Counties|MD GPs Per 100k|P01|Ptile|0
All US Counties|MD GPs Per 100k|Min|Extr|0
All US Counties|MD GPs Per 100k|P05|Ptile|0
All US Counties|MD GPs Per 100k|P10|Ptile|6.4551528257
All US Counties|MD GPs Per 100k|P25|IQR|13.178703216
All US Counties|MD GPs Per 100k|P40|Ptile|18.349406845
All US Counties|MD GPs Per 100k|Median|IQR|21.623180049
All US Counties|MD GPs Per 100k|Santa Barbara (P57)|SB|24.507267991
All US Counties|MD GPs Per 100k|Mean|Mean|25.583531823
All US Counties|MD GPs Per 100k|P60|Ptile|25.777625021
All US Counties|MD GPs Per 100k|P75|IQR|32.896901112
All US Counties|MD GPs Per 100k|P90|Ptile|47.641457364
All US Counties|MD GPs Per 100k|P95|Ptile|59.9880024
All US Counties|MD GPs Per 100k|P99|Ptile|97.543672963
All US Counties|MD GPs Per 100k|Max|Extr|309.11901082
All US Counties|MD Specialists Per 100k|StdDev|Smry|32.883568729
All US Counties|MD Specialists Per 100k|N|Smry|2927
All US Counties|MD Specialists Per 100k|P10|Ptile|0
All US Counties|MD Specialists Per 100k|P05|Ptile|0
All US Counties|MD Specialists Per 100k|P01|Ptile|0
All US Counties|MD Specialists Per 100k|Min|Extr|0
All US Counties|MD Specialists Per 100k|P25|IQR|4.2645741823
All US Counties|MD Specialists Per 100k|P40|Ptile|11.060723371
All US Counties|MD Specialists Per 100k|Median|IQR|15.943514406
All US Counties|MD Specialists Per 100k|P60|Ptile|22.592913356
All US Counties|MD Specialists Per 100k|Mean|Mean|27.151884533
All US Counties|MD Specialists Per 100k|P75|IQR|37.683343962
All US Counties|MD Specialists Per 100k|P90|Ptile|70.011786157
All US Counties|MD Specialists Per 100k|Santa Barbara (P91)|SB|75.095667284
All US Counties|MD Specialists Per 100k|P95|Ptile|95.133066713
All US Counties|MD Specialists Per 100k|P99|Ptile|156.10169957
All US Counties|MD Specialists Per 100k|Max|Extr|216.63619744
All US Counties|MDs/DOs Per 100k|StdDev|Smry|85.029451951
All US Counties|MDs/DOs Per 100k|N|Smry|2927
All US Counties|MDs/DOs Per 100k|Min|Extr|3.5151856018
All US Counties|MDs/DOs Per 100k|P01|Ptile|9.6833543139
All US Counties|MDs/DOs Per 100k|P05|Ptile|16.860563143
All US Counties|MDs/DOs Per 100k|P10|Ptile|24.455857178
All US Counties|MDs/DOs Per 100k|P25|IQR|41.280444328
All US Counties|MDs/DOs Per 100k|P40|Ptile|59.218767794
All US Counties|MDs/DOs Per 100k|Median|IQR|73.739914982
All US Counties|MDs/DOs Per 100k|P60|Ptile|92.079318427
All US Counties|MDs/DOs Per 100k|Mean|Mean|100.89078693
All US Counties|MDs/DOs Per 100k|P75|IQR|131.68086754
All US Counties|MDs/DOs Per 100k|Santa Barbara (P88)|SB|209.32355341
All US Counties|MDs/DOs Per 100k|P90|Ptile|219.62082847
All US Counties|MDs/DOs Per 100k|P95|Ptile|280.02319484
All US Counties|MDs/DOs Per 100k|P99|Ptile|412.07056571
All US Counties|MDs/DOs Per 100k|Max|Extr|487.08645593
Central MSA US Counties of 250k-1M|MD GPs Per 100k|StdDev|Smry|13.445467383
Central MSA US Counties of 250k-1M|MD GPs Per 100k|N|Smry|231
Central MSA US Counties of 250k-1M|MD GPs Per 100k|Min|Extr|6.034664839
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P01|Ptile|7.3948175241
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P05|Ptile|9.3631497636
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P10|Ptile|12.171669223
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P25|IQR|18.833162743
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P40|Ptile|23.571007661
Central MSA US Counties of 250k-1M|MD GPs Per 100k|Santa Barbara (P43)|SB|24.507269991
Central MSA US Counties of 250k-1M|MD GPs Per 100k|Median|IQR|26.184452114
Central MSA US Counties of 250k-1M|MD GPs Per 100k|Mean|Mean|27.920038906
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P60|Ptile|29.429346577
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P75|IQR|34.639918052
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P90|Ptile|43.85360414
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P95|Ptile|53.348152265
Central MSA US Counties of 250k-1M|MD GPs Per 100k|P99|Ptile|71.353476774
Central MSA US Counties of 250k-1M|MD GPs Per 100k|Max|Extr|85.299971567
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|StdDev|Smry|38.807819815
