Subset|Measure|Bin Index|Bin|Santa Barbara|N Counties
All CA Counties|MD GPs Per 100k|0|0 - 15|Bin without SB|9
All CA Counties|MD GPs Per 100k|1|15 - 31|Bin with SB|26
All CA Counties|MD GPs Per 100k|2|31 - 46|Bin without SB|19
All CA Counties|MD GPs Per 100k|3|46 - 62|Bin without SB|4
All CA Counties|MD GPs Per 100k|4|62 - 77|Bin without SB|0
All CA Counties|MD GPs Per 100k|5|77 - 93|Bin without SB|0
All CA Counties|MD GPs Per 100k|6|93 - 108|Bin without SB|0
All CA Counties|MD GPs Per 100k|7|108 - 124|Bin without SB|0
All CA Counties|MD GPs Per 100k|8|124 - 139|Bin without SB|0
All CA Counties|MD GPs Per 100k|9|139 - 155|Bin without SB|0
All CA Counties|MD GPs Per 100k|10|155 - 170|Bin without SB|0
All CA Counties|MD GPs Per 100k|11|170 - 185|Bin without SB|0
All CA Counties|MD GPs Per 100k|12|185 - 201|Bin without SB|0
All CA Counties|MD GPs Per 100k|13|201 - 216|Bin without SB|0
All CA Counties|MD GPs Per 100k|14|216 - 232|Bin without SB|0
All CA Counties|MD GPs Per 100k|15|232 - 247|Bin without SB|0
All CA Counties|MD GPs Per 100k|16|247 - 263|Bin without SB|0
All CA Counties|MD GPs Per 100k|17|263 - 278|Bin without SB|0
All CA Counties|MD GPs Per 100k|18|278 - 294|Bin without SB|0
All CA Counties|MD GPs Per 100k|19|294 - 309|Bin without SB|0
All CA Counties|MD Specialists Per 100k|0|0 - 11|Bin without SB|8
All CA Counties|MD Specialists Per 100k|1|11 - 22|Bin without SB|9
All CA Counties|MD Specialists Per 100k|2|22 - 32|Bin without SB|3
All CA Counties|MD Specialists Per 100k|3|32 - 43|Bin without SB|10
All CA Counties|MD Specialists Per 100k|4|43 - 54|Bin without SB|8
All CA Counties|MD Specialists Per 100k|5|54 - 65|Bin without SB|4
All CA Counties|MD Specialists Per 100k|6|65 - 76|Bin with SB|3
All CA Counties|MD Specialists Per 100k|7|76 - 87|Bin without SB|4
All CA Counties|MD Specialists Per 100k|8|87 - 97|Bin without SB|1
All CA Counties|MD Specialists Per 100k|9|97 - 108|Bin without SB|3
All CA Counties|MD Specialists Per 100k|10|108 - 119|Bin without SB|2
All CA Counties|MD Specialists Per 100k|11|119 - 130|Bin without SB|0
All CA Counties|MD Specialists Per 100k|12|130 - 141|Bin without SB|0
All CA Counties|MD Specialists Per 100k|13|141 - 152|Bin without SB|1
All CA Counties|MD Specialists Per 100k|14|152 - 162|Bin without SB|0
