Subset|Measure|Year|Value|Intercept|Slope|N
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2010|28.245225822|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2011|27.827281668|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2012|28.506422707|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2013|29.049944932|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2014|27.774347687|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2015|27.467808634|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2016|27.48677576|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2017|27.22553048|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2018|26.729553594|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2019|26.978115559|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=-16.75%)|MD GPs Per 100k|2020|27.09347945|365.13627153|-0.167476404|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2010|48.455992883|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2011|49.29937686|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2012|50.4308725|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2013|51.637056186|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2014|50.945659482|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2015|51.218793954|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2016|51.794260102|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2017|51.6916954|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2018|50.582619542|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2019|51.329368729|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=20.91%)|MD Specialists Per 100k|2020|51.150628312|-370.6569119|0.2091478617|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2010|156.03272387|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2011|156.19120665|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2012|158.97530069|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2013|162.59776733|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2014|159.01996656|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2015|156.33538771|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2016|156.93506549|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2017|159.39672318|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2018|156.67056447|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2019|158.51711524|41.015226461|0.058111212|58
All CA Counties (n=58) (slope=5.81%)|MDs/DOs Per 100k|2020|158.53068327|41.015226461|0.058111212|58
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2010|27.228456014|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2011|26.974988135|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2012|26.841679049|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2013|26.720546397|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2014|26.172870924|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2015|25.859291594|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2016|26.055995982|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2017|25.940557093|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2018|25.689629351|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2019|25.850224509|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-16.23%)|MD GPs Per 100k|2020|25.583531823|353.36712814|-0.162333437|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2010|103.64120002|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2011|103.57410078|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2012|103.7127898|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2013|104.42426233|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2014|102.54404891|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2015|100.74320787|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2016|101.32177192|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2017|101.51614245|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2018|100.15369882|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2019|101.20776294|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-37.21%)|MDs/DOs Per 100k|2020|100.89078693|851.97917143|-0.372120059|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2010|27.27665637|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2011|27.631913234|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2012|27.897281892|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2013|28.192872512|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2014|27.660079534|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2015|27.044090821|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2016|27.173330122|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2017|27.112176162|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2018|26.903957639|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2019|27.201536864|173.44562779|-0.072486178|2927
All US Counties (n=2,927) (slope=-7.25%)|MD Specialists Per 100k|2020|27.151884533|173.44562779|-0.072486178|2927
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2010|56.237216571|-328.3174087|0.1918667287|231
